PUBCHEM_CID,PUBCHEM_SID,SAMPLE_NAME
4,144212021,1-Amino-2-propanol
6,144213119,"1-Chloro-2,4-dinitrobenzene"
6,144209154,"1-Chloro-2,4-dinitrobenzene"
11,144209664,"1,2-Dichloroethane"
13,144210880,"1,2,4-Trichlorobenzene"
13,144208509,"1,2,4-Trichlorobenzene"
33,144211469,Chloroacetaldehyde
34,144210363,2-Chloroethanol
51,144208116,alpha-Ketoglutaric acid
51,144203567,alpha-Ketoglutaric acid
66,144209087,"2,5-Dichlorophenol"
66,144213370,"2,5-Dichlorophenol"
72,144207365,"3,4-Dihydroxybenzoic acid"
79,144210672,3-Pyridinecarbonitrile
79,144208867,3-Pyridinecarbonitrile
107,144212646,Hydrocinnamic acid
119,144203622,4-Aminobutanoic acid
135,144213618,4-Hydroxybenzoic acid
135,144209540,4-Hydroxybenzoic acid
174,144209236,Ethylene glycol
174,144210954,Ethylene glycol
176,144211770,Acetic acid
177,144209677,Acetaldehyde
178,144211093,Acetamide
179,144212835,Acetoin
180,144204647,Acetone
180,144209678,Acetone
190,144212425,Adenine
190,144204901,Adenine
190,170465950,Adenine
196,144210662,Hexanedioic acid
196,144204669,Hexanedioic acid
196,144209359,Hexanedioic acid
196,170465352,Hexanedioic acid
204,144213229,Allantoin
204,144209285,Allantoin
204,144203946,Allantoin
204,170465460,Allantoin
227,144204646,Anthranilic acid
227,144207901,Anthranilic acid
227,170465552,Anthranilic acid
240,144206795,Benzaldehyde
240,144206620,Benzaldehyde
240,144207832,Benzaldehyde
241,144209685,Benzene
243,144210500,Benzoic acid
243,144209601,Benzoic acid
244,144210364,Benzyl alcohol
244,144204723,Benzyl alcohol
244,144209645,Benzyl alcohol
247,144207060,Betaine
247,144211476,Betaine
261,144209689,Butyraldehyde
262,144211106,"2,3-Butanediol"
263,144207939,1-Butanol
263,144204597,1-Butanol
264,144209580,Butanoic acid
264,144210484,Butanoic acid
289,144210473,Catechol
289,144209515,Catechol
299,144208790,Kepone
299,144210418,Kepone
300,144208312,Chloroacetic acid
307,144207470,3-Phenylprop-2-enal
308,144211164,3-Phenyl-2-propen-1-ol
308,144205866,3-Phenyl-2-propen-1-ol
311,144206986,Citric acid
311,144210444,Citric acid
311,144209603,Citric acid
323,144210377,Coumarin
323,144204692,Coumarin
323,144209625,Coumarin
323,170465665,Coumarin
325,144213114,4-Isopropylbenzyl alcohol
325,144209223,4-Isopropylbenzyl alcohol
326,144211029,4-Isopropylbenzaldehyde
332,251919945,2-Methoxy-4-vinylphenol
335,144210341,o-Cresol
335,144209503,o-Cresol
338,144208669,Salicylic acid
338,144207002,Salicylic acid
338,144213426,Salicylic acid
342,144209139,m-Cresol
342,144212962,m-Cresol
356,144209650,Octane
370,144204640,Gallic acid
370,144209713,Gallic acid
370,170465633,Gallic acid
379,144208477,Octanoic acid
379,144204596,Octanoic acid
379,144210663,Octanoic acid
385,144208369,Heptanedioic acid
398,144207563,2-Nitropropane
403,144208228,4-Aminophenol
403,144207026,4-Aminophenol
403,144206793,4-Aminophenol
403,170466875,4-Aminophenol
447,144207523,3-Chlorobenzoic acid
454,144208613,Octanal
454,144210655,Octanal
460,144213965,2-Methoxyphenol
460,144204582,2-Methoxyphenol
460,144210188,2-Methoxyphenol
460,144208334,"Creosote, wood"
464,144205263,Hippuric acid
464,170464791,Hippuric acid
525,144210690,Malic acid
525,144208734,Malic acid
527,144208269,Propanal
541,144210128,4-Nitrobenzaldehyde
546,144203596,Phosphonoacetic acid
546,170466274,Phosphonoacetic acid
564,144203632,Aminocaproic acid
564,170465057,Aminocaproic acid
568,144209314,Dibenzofuran
568,144210372,Dibenzofuran
588,144205069,Creatinine
588,170466777,Creatinine
594,144205319,DL-Cysteine
594,170464842,DL-Cysteine
597,144212456,Cytosine
612,144209653,Lactic acid
612,144204600,Lactic acid
612,144213921,Lactic acid
612,170466852,Lactic acid
614,144203593,Proline
650,144208416,"2,3-Butanedione"
660,144209335,"3,4-Dihydrocoumarin"
660,144213062,"3,4-Dihydrocoumarin"
671,144211972,"1,4-Dihydroxy-2-naphthoic acid"
674,144212756,Dimethylamine
679,144211274,Dimethyl sulfoxide
681,144203718,Dopamine hydrochloride
681,170464942,Dopamine hydrochloride
700,144213981,Ethanolamine
701,144208336,Ethyl-2-methyl acetoacetate
702,144209708,Ethanol
712,144204711,Formalin
712,144212755,Formalin
713,144209140,Formamide
